date,hour,temperature
2012-10-10,6,282.54
2012-10-10,7,282.16
2012-10-10,8,281.87
2012-10-10,9,281.553333333
2012-10-10,10,281.236666667
2012-10-10,11,280.92
2012-10-10,12,281.03
2012-10-10,13,281.75
2012-10-10,14,283.35
2012-10-10,15,284.88
2012-10-10,16,287.2
2012-10-10,17,289.88
2012-10-10,18,290.92
2012-10-10,19,291.72
2012-10-10,20,291.76
2012-10-10,21,291.23
2012-10-10,22,290.315
2012-10-10,23,289.4
2012-10-11,0,289.4
2012-10-11,1,289.4
2012-10-11,2,289.4
2012-10-11,3,289.4
2012-10-11,4,289.4
2012-10-11,5,284.805
2012-10-11,6,280.21
2012-10-11,7,278.46
2012-10-11,8,278.32
2012-10-11,9,277.73
2012-10-11,10,277.25
2012-10-11,11,276.56
2012-10-11,12,276.11
2012-10-11,13,276.67
2012-10-11,14,278.12
2012-10-11,15,278.76
2012-10-11,16,279.77
2012-10-11,17,280.78
2012-10-11,18,281.79
2012-10-11,19,282.8
2012-10-11,20,282.8
2012-10-11,21,283.93
2012-10-11,22,283.39
2012-10-11,23,282.15
2012-10-12,0,280.4
2012-10-12,1,278.68
2012-10-12,2,277.67
2012-10-12,3,277.45
2012-10-12,4,276.91
2012-10-12,5,276.5
2012-10-12,6,275.99
2012-10-12,7,276.18
2012-10-12,8,276.11
2012-10-12,9,276.73
2012-10-12,10,277.85
2012-10-12,11,278.49
2012-10-12,12,279.34
2012-10-12,13,280.61
2012-10-12,14,282.59
2012-10-12,15,285.05
2012-10-12,16,287.18
2012-10-12,17,288.56
2012-10-12,18,290.06
2012-10-12,19,291.18
2012-10-12,20,291.91
2012-10-12,21,291.51
2012-10-12,22,290.83
2012-10-12,23,290.1
2012-10-13,0,289.94
2012-10-13,1,289.78
2012-10-13,2,289.62
2012-10-13,3,289.46
2012-10-13,4,289.3
2012-10-13,5,281.11
2012-10-13,6,281.27
2012-10-13,7,281.06
2012-10-13,8,280.64
2012-10-13,9,279.53
2012-10-13,10,278.4
2012-10-13,11,277.79
2012-10-13,12,277.21
2012-10-13,13,277.68
2012-10-13,14,280.78
2012-10-13,15,283.46
2012-10-13,16,283.6
2012-10-13,17,283.53
2012-10-13,18,283.88
2012-10-13,19,284.07
2012-10-13,20,284.46
2012-10-13,21,284.26
2012-10-13,22,283.54
2012-10-13,23,282.21
2012-10-14,0,280.62
2012-10-14,1,279.91
2012-10-14,2,278.46
2012-10-14,3,279.6
2012-10-14,4,279.31
2012-10-14,5,278.91
2012-10-14,6,280.37
2012-10-14,7,281.46
2012-10-14,8,282.17
2012-10-14,9,281.08
2012-10-14,10,281.18
2012-10-14,11,281.73
2012-10-14,12,282.37
2012-10-14,13,283.37
2012-10-14,14,284.78
2012-10-14,15,285.77
2012-10-14,16,285.29
2012-10-14,17,285.06
2012-10-14,18,285.74
2012-10-14,19,287.1
2012-10-14,20,288.18
2012-10-14,21,289.4
2012-10-14,22,290.17
2012-10-14,23,290.38
2012-10-15,0,290.95
2012-10-15,1,291.16
2012-10-15,2,291.42
2012-10-15,3,291.75
2012-10-15,4,291.86
2012-10-15,5,291.94
2012-10-15,6,292.01
2012-10-15,7,291.93
2012-10-15,8,291.48
2012-10-15,9,291.19
2012-10-15,10,291.23
2012-10-15,11,291.09
2012-10-15,12,291.09
2012-10-15,13,291.37
2012-10-15,14,291.42
2012-10-15,15,291.7
2012-10-15,16,291.98
2012-10-15,17,291.99
2012-10-15,18,292.64
2012-10-15,19,293.91
2012-10-15,20,291.04
2012-10-15,21,289.22
2012-10-15,22,288.4
2012-10-15,23,284.62
2012-10-16,0,283.46
2012-10-16,1,283.54
2012-10-16,2,283.34
2012-10-16,3,283.34
2012-10-16,4,282.95
2012-10-16,5,282.25
2012-10-16,6,282.25
2012-10-16,7,282.17
2012-10-16,8,282.25
2012-10-16,9,282.1
2012-10-16,10,282.01
2012-10-16,11,282.01
2012-10-16,12,281.23
2012-10-16,13,280.85
2012-10-16,14,281.44
2012-10-16,15,282.1
2012-10-16,16,283.88
2012-10-16,17,285.13
2012-10-16,18,285.84
2012-10-16,19,286.79
2012-10-16,20,286.72
2012-10-16,21,286.85
2012-10-16,22,285.17
2012-10-16,23,283.48
2012-10-17,0,282.39
2012-10-17,1,281.62
2012-10-17,2,281.0
2012-10-17,3,280.03
2012-10-17,4,279.98
2012-10-17,5,279.55
2012-10-17,6,279.07
2012-10-17,7,279.0
2012-10-17,8,279.18
2012-10-17,9,278.83
2012-10-17,10,278.72
2012-10-17,11,278.78
2012-10-17,12,279.03
2012-10-17,13,280.69
2012-10-17,14,283.52
2012-10-17,15,286.05
2012-10-17,16,288.39
2012-10-17,17,289.02
2012-10-17,18,291.03
2012-10-17,19,292.3
2012-10-17,20,292.8
2012-10-17,21,293.3
2012-10-17,22,293.13
2012-10-17,23,292.42
2012-10-18,0,291.65
2012-10-18,1,291.44
2012-10-18,2,291.23
2012-10-18,3,290.98
2012-10-18,4,291.3
2012-10-18,5,291.59
2012-10-18,6,291.93
2012-10-18,7,292.33
2012-10-18,8,292.09
2012-10-18,9,290.7
2012-10-18,10,289.56
2012-10-18,11,288.52
2012-10-18,12,287.82
2012-10-18,13,287.96
2012-10-18,14,289.4
2012-10-18,15,290.3
2012-10-18,16,291.51
2012-10-18,17,291.82
2012-10-18,18,292.19
2012-10-18,19,292.41
2012-10-18,20,292.38
2012-10-18,21,290.81
2012-10-18,22,289.0
2012-10-18,23,289.0
2012-10-19,0,288.6
2012-10-19,1,287.87
2012-10-19,2,288.08
2012-10-19,3,287.88
2012-10-19,4,286.14
2012-10-19,5,285.28
2012-10-19,6,285.2
2012-10-19,7,284.88
2012-10-19,8,284.06
2012-10-19,9,283.07
2012-10-19,10,282.36
2012-10-19,11,282.42
2012-10-19,12,281.89
2012-10-19,13,281.39
2012-10-19,14,282.46
2012-10-19,15,284.1
2012-10-19,16,284.44
2012-10-19,17,284.19
2012-10-19,18,284.61
2012-10-19,19,284.66
2012-10-19,20,283.32
2012-10-19,21,281.89
2012-10-19,22,281.22
2012-10-19,23,280.52
2012-10-20,0,280.46
2012-10-20,1,280.59
2012-10-20,2,280.59
2012-10-20,3,280.59
2012-10-20,4,280.52
2012-10-20,5,280.52
2012-10-20,6,280.52
2012-10-20,7,280.35
2012-10-20,8,280.35
2012-10-20,9,280.35
2012-10-20,10,280.46
2012-10-20,11,280.46
2012-10-20,12,280.46
2012-10-20,13,280.59
2012-10-20,14,281.11
2012-10-20,15,281.43
2012-10-20,16,282.18
2012-10-20,17,283.07
2012-10-20,18,282.93
2012-10-20,19,283.44
